,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
LSTM_20250227_112106,LSTM,26.98520057002889,20.909704208374023,728.2010498046875,0.9162301421165466,27.755400261072506,21.188459396362305,770.3622436523438,0.9101872444152832,30.3560716968976,23.526790618896484,921.4910888671875,0.864227294921875,15.350200891494751,0.001,32,2,0.2,20,250,0
LSTM_20250227_115904,LSTM,23.725523211515405,18.14919090270996,562.9004516601562,0.9352457523345947,25.663496473971183,19.428430557250977,658.6150512695312,0.9232153296470642,28.91545461556847,22.342906951904297,836.103515625,0.8768082857131958,26.01322603225708,0.001,32,2,0.2,20,250,0
LSTM_20250227_121308,LSTM,27.117311293292772,21.08550453186035,735.3485717773438,0.9154078960418701,27.98902787079865,21.250499725341797,783.3856811523438,0.9086689352989197,30.08526903795174,23.625194549560547,905.1234130859375,0.8666388988494873,18.472787380218506,0.001,32,2,0.2,20,250,0
LSTM_20250301_121231,LSTM,96.52993484050685,73.50473022460938,9318.0283203125,0.5454585552215576,121.72466288590616,88.42745971679688,14816.8935546875,0.23627477884292603,133.6457464600913,101.00530242919922,17861.185546875,0.018255949020385742,34.68048453330994,0.001,32,2,0.2,60,250,0
LSTM_20250301_121616,LSTM,109.06294770681745,81.54788208007812,11894.7265625,0.4197649359703064,116.97023192355395,86.7556381225586,13682.03515625,0.29477018117904663,119.13116868209805,84.00379180908203,14192.2353515625,0.21992069482803345,23.492356061935425,0.001,32,2,0.2,60,250,0
LSTM_20250301_121652,LSTM,101.79176047205392,76.07872009277344,10361.5625,0.49598437547683716,119.66474979604479,89.81693267822266,14319.65234375,0.2346559762954712,121.6453565634032,87.90245056152344,14797.5927734375,0.18645387887954712,9.290669918060303,0.001,32,2,0.2,20,250,0
LSTM_20250301_121834,LSTM,13.966406162597192,10.67175579071045,195.0605010986328,0.9693300127983093,15.048682495442344,11.26945686340332,226.4628448486328,0.9592267274856567,15.807058491209908,11.933768272399902,249.86309814453125,0.9433273673057556,30.05796241760254,0.001,32,2,0.2,20,250,0
LSTM_20250301_122345,LSTM,4.39139949171669,3.3665592670440674,19.28438949584961,0.9960855841636658,4.679999492351798,3.5026192665100098,21.902395248413086,0.9947713017463684,5.9896911434477556,4.776301383972168,35.876399993896484,0.986895740032196,118.21029710769653,0.001,32,2,0.2,20,250,0
LSTM_20250301_122751,LSTM,17.333528273048685,13.140883445739746,300.4512023925781,0.9554107785224915,18.63423736690326,14.1746187210083,347.23480224609375,0.9412506222724915,20.29253526064911,15.508121490478516,411.7869873046875,0.9144068956375122,19.725037336349487,0.001,32,2,0.2,20,250,0
LSTM_20250301_123044,LSTM,91.01372449732513,68.05652618408203,8283.498046875,0.513053297996521,100.07138077392557,75.12220764160156,10014.28125,0.350253164768219,103.09974122482073,74.43572235107422,10629.556640625,0.28324437141418457,9.155912160873413,0.001,32,2,0.2,20,250,0
LSTM_20250301_123119,LSTM,65.87273552203712,49.46152114868164,4339.21728515625,0.6619603633880615,69.42357885316234,52.6757698059082,4819.63330078125,0.5825752019882202,72.65400198135166,52.53325653076172,5278.60400390625,0.5118635892868042,10.887926578521729,0.001,32,2,0.2,20,250,0
LSTM_20250301_123154,LSTM,47.06271787798172,35.86227798461914,2214.8994140625,0.7927441596984863,51.186538929469776,38.1751594543457,2620.061767578125,0.7260186672210693,53.00663744552421,38.35564041137695,2809.70361328125,0.6781250834465027,15.536555051803589,0.001,32,2,0.2,20,250,0
LSTM_20250301_123602,LSTM,48.82810749999686,36.56132888793945,2384.18408203125,0.7769036293029785,50.414425096518755,37.977725982666016,2541.6142578125,0.7342219352722168,54.539697590665554,39.666748046875,2974.57861328125,0.659237265586853,14.246118783950806,0.001,32,2,0.2,20,250,0
LSTM_ekan_20250301_123954,LSTM_ekan,42.4428671587612,32.4346923828125,1801.39697265625,0.8314370512962341,53.881781131386376,40.3289794921875,2903.246337890625,0.6964058876037598,52.97493050225503,38.1391487121582,2806.34326171875,0.6785100698471069,15.560455083847046,0.001,32,2,0.2,20,250,0
Informer_20250301_124132,Informer,57.92484439043621,44.13997268676758,3355.28759765625,0.686034083366394,54.54422302705393,41.73130798339844,2975.072265625,0.6888949871063232,56.481729709841794,43.14503479003906,3190.185791015625,0.6345376968383789,16.438657760620117,0.001,32,2,0.2,20,250,0
Informer_20250301_124214,Informer,57.44274918206605,44.22404861450195,3299.66943359375,0.6912384629249573,54.70738031506809,42.04199981689453,2992.8974609375,0.6870310306549072,56.9564599503702,42.76506805419922,3244.038330078125,0.6283684372901917,12.35176134109497,0.001,32,2,0.2,20,250,0
GRU_20250301_124335,GRU,48.350572199626036,36.27727127075195,2337.77783203125,0.7812460064888,50.91911334180541,38.02281188964844,2592.756103515625,0.7288740277290344,52.81715724657448,38.53938674926758,2789.652099609375,0.6804221868515015,21.229176998138428,0.001,32,2,0.2,20,250,0
GRU_20250301_125150,GRU,45.61547417680759,34.53026580810547,2080.771484375,0.786379337310791,49.1670313589935,36.71045684814453,2417.39697265625,0.7333965301513672,46.39434559010802,34.024314880371094,2152.435302734375,0.6902681589126587,19.592449426651,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_130542,GRU_ekan,45.01896708567332,34.03352737426758,2026.7073974609375,0.8103539943695068,53.02687859487512,39.67811584472656,2811.849853515625,0.7059632539749146,52.05330801207547,37.681480407714844,2709.546875,0.6895988583564758,26.735957145690918,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_130912,GRU_ekan,56.501948770318975,42.91658020019531,3192.47021484375,0.732271671295166,64.11858444393287,48.75899124145508,4111.19287109375,0.6159179210662842,62.865136527530105,45.81586837768555,3952.025390625,0.6020151972770691,24.9366717338562,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_131033,GRU_ekan,42.07666865285172,31.85698890686035,1770.446044921875,0.8236226439476013,44.45434010861243,33.558799743652344,1976.1883544921875,0.7795681357383728,49.36766163821211,35.83110046386719,2437.166015625,0.6990455389022827,32.337355613708496,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_131140,GRU_ekan,39.031619043491524,29.74203872680664,1523.46728515625,0.842324435710907,42.246240933920674,32.09620666503906,1784.744873046875,0.7929275631904602,55.0013760481272,41.08403015136719,3025.1513671875,0.6087476015090942,40.2418749332428,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_131236,GRU_ekan,40.58787967561868,30.53749656677246,1647.3759765625,0.8358832597732544,47.04531299300043,35.60659408569336,2213.261474609375,0.7531240582466125,50.90882292837976,38.85932159423828,2591.708251953125,0.6799618005752563,28.303253650665283,0.001,32,2,0.2,20,250,0
GRU_ekan_20250301_131334,GRU_ekan,40.43211571814308,30.53766632080078,1634.7559814453125,0.8371405005455017,45.670733713930524,34.996131896972656,2085.81591796875,0.7673398852348328,46.218039527162716,33.134483337402344,2136.107177734375,0.7362219095230103,27.976312160491943,0.001,32,2,0.2,20,250,0
LSTM_20250301_144608,LSTM,42.214629587050446,31.89032745361328,1782.074951171875,0.822464108467102,44.92989194767429,33.40404510498047,2018.6951904296875,0.7748267650604248,47.40731603119133,34.49969482421875,2247.45361328125,0.7224721908569336,13.898417234420776,0.001,32,2,0.2,20,250,0
